id,founder_name,email,role,company,location,idea,about,keywords,stage,linked_in,notes
031a6ebc-fe47-4219-9cae-0b31dd88c830,Siddharth Patel,siddharth.patel@cloudnova.in,Founder,CloudNova,"Pune, India",Investor fintech ecommerce healthtech ecommerce. Building a solution for logistics.,Investor investor blockchain logistics cleantech ai marketplace edtech. Experienced in marketplace and healthtech.,"healthtech,fintech,logistics",growth,https://www.linkedin.com/in/siddharthpatel92,Recently closed a small round.
efcf3861-7efb-40c8-b454-331e64739ca2,Vivaan Joshi,vivaan.joshi@skillhub.in,PM,DataMind,"Bengaluru, India",Iot cleantech edtech sustainability blockchain. Building a solution for fintech.,Telemedicine marketplace sustainability cleantech telemedicine marketplace telemedicine gaming. Experienced in fintech and cleantech.,"cloud,logistics,healthtech",growth,https://www.linkedin.com/in/vivaanjoshi14,
595ad7e9-2dfd-4544-bf93-f35e4aa8729d,Aarav Menon,aarav.menon@greenvolt.in,Other,EduNext,"Chennai, India",Blockchain logistics healthtech cleantech mobility. Building a solution for cleantech.,Iot ai logistics ai cleantech gaming iot gaming. Experienced in AI and investor.,"marketplace,IoT,cloud",series A,https://www.linkedin.com/in/aaravmenon71,Looking for funding opportunities.
5c8016e5-1622-4018-9b6d-0f5537502c5e,Simran Gupta,simran.gupta@greenvolt.in,Engineer,CleanCity,"Jaipur, India",Cleantech healthtech mobility investor ai. Building a solution for marketplace.,Telemedicine cloud marketplace ai investor blockchain logistics telemedicine. Experienced in telemedicine and ecommerce.,"IoT,marketplace,sustainability",none,https://www.linkedin.com/in/simrangupta49,Recently closed a small round.
bb461013-ca8d-4c5e-a894-881657090766,Neha Kapoor,neha.kapoor@edunext.in,Founder,FinPeak,"Hyderabad, India",Mobility logistics ecommerce ai mobility. Building a solution for IoT.,Ai gaming sustainability edtech sustainability ai logistics gaming. Experienced in blockchain and gaming.,"marketplace,fintech,telemedicine",growth,https://www.linkedin.com/in/nehakapoor92,Looking for funding opportunities.
9fc54f4d-91b4-42a4-bc9f-d35f87a4ab3a,Arjun Pandey,arjun.pandey@smarthire.in,Co-founder,SmartHire,"Ahmedabad, India",Iot ai gaming investor edtech. Building a solution for ecommerce.,Edtech healthtech cloud healthtech cloud ecommerce telemedicine gaming. Experienced in healthtech and logistics.,"logistics,mobility,cleantech",growth,https://www.linkedin.com/in/arjunpandey33,Recently closed a small round.
918368ba-78a3-4637-9da3-6c694923accd,Simran Singh,simran.singh@travelease.in,PM,HealthBridge,"Kolkata, India",Blockchain mobility blockchain edtech cloud. Building a solution for sustainability.,Fintech gaming iot mobility investor gaming healthtech ai. Experienced in logistics and edtech.,"ecommerce,gaming,investor",none,https://www.linkedin.com/in/simransingh12,
5ecf8a26-c906-4411-9063-435bfb1b7811,Aditi Singh,aditi.singh@finpeak.in,PM,CloudNova,"Kolkata, India",Ai healthtech healthtech logistics logistics. Building a solution for gaming.,Ai cleantech iot ai healthtech cleantech sustainability cleantech. Experienced in cloud and sustainability.,"healthtech,edtech,cloud",seed,https://www.linkedin.com/in/aditisingh81,Looking for funding opportunities.
84c2672e-f951-40d3-9b79-667dedf00509,Isha Deshmukh,isha.deshmukh@neomart.in,Other,NeoMart,"Hyderabad, India",Cleantech sustainability blockchain ai logistics. Building a solution for investor.,Logistics edtech blockchain fintech marketplace cloud cleantech gaming. Experienced in marketplace and sustainability.,"ecommerce,telemedicine,AI",series A,https://www.linkedin.com/in/ishadeshmukh82,
7eebdedd-3dbc-4d19-985c-e096b545b0ae,Sanya Deshmukh,sanya.deshmukh@travelease.in,Other,TechSutra,"Mumbai, India",Gaming ecommerce investor iot marketplace. Building a solution for healthtech.,Sustainability telemedicine mobility marketplace gaming blockchain gaming telemedicine. Experienced in blockchain and sustainability.,"investor,cloud,IoT",growth,https://www.linkedin.com/in/sanyadeshmukh5,Looking for funding opportunities.
a74cd1eb-5d5f-4298-92f3-5fe89a053d8f,Siddharth Gupta,siddharth.gupta@techsutra.in,Engineer,SmartHire,"Delhi, India",Cleantech cleantech mobility marketplace telemedicine. Building a solution for marketplace.,Ai mobility ai cleantech telemedicine iot telemedicine blockchain. Experienced in ecommerce and blockchain.,"fintech,AI,IoT",growth,https://www.linkedin.com/in/siddharthgupta70,Looking for funding opportunities.
c5138bb1-ef74-44e2-b5d0-bd57a8744238,Aarav Nair,aarav.nair@cloudnova.in,Other,SmartHire,"Ahmedabad, India",Investor fintech cloud marketplace cloud. Building a solution for AI.,Fintech investor cloud ecommerce cloud edtech mobility ecommerce. Experienced in sustainability and marketplace.,"logistics,AI,marketplace",seed,https://www.linkedin.com/in/aaravnair93,
8a40244e-93c2-48b0-aa08-b54ec594734a,Isha Singh,isha.singh@skillhub.in,Other,DataMind,"Delhi, India",Edtech telemedicine fintech logistics mobility. Building a solution for logistics.,Ai edtech cleantech ecommerce sustainability edtech edtech cloud. Experienced in sustainability and edtech.,"AI,logistics,cloud",series A,https://www.linkedin.com/in/ishasingh44,Expanding into new geographies.
1b3f8693-1b8e-444e-9878-63cf1cbda6a9,Kunal Sharma,kunal.sharma@greenvolt.in,PM,FinPeak,"Hyderabad, India",Telemedicine healthtech investor marketplace sustainability. Building a solution for ecommerce.,Edtech edtech sustainability edtech ai marketplace logistics edtech. Experienced in AI and fintech.,"telemedicine,ecommerce,mobility",growth,https://www.linkedin.com/in/kunalsharma59,Looking for funding opportunities.
07c322cd-f69f-4c8f-9074-eca2a04df9c8,Isha Agarwal,isha.agarwal@cleancity.in,Founder,CleanCity,"Hyderabad, India",Iot marketplace iot mobility healthtech. Building a solution for sustainability.,Cleantech cloud blockchain cleantech cloud mobility fintech ai. Experienced in gaming and cleantech.,"healthtech,telemedicine,AI",pre-seed,https://www.linkedin.com/in/ishaagarwal55,Expanding into new geographies.
2b9d2a06-6275-41df-b210-e799de85a6ea,Arjun Singh,arjun.singh@travelease.in,Investor,SmartHire,"Ahmedabad, India",Marketplace ai marketplace edtech marketplace. Building a solution for fintech.,Ai mobility iot investor ecommerce logistics cleantech gaming. Experienced in IoT and edtech.,"IoT,ecommerce,marketplace",none,https://www.linkedin.com/in/arjunsingh11,Looking for funding opportunities.
